participant,block,trial,screenID,condition,stepID,position,initial_item,final_item,npl_items,answer,acc,rt,updPos
oyz,2,8,retrieval,kr,1,3,표,표,"까,꾸,휴,았,음,큼",꾸,FALSE,4511.200000000186,no
oyz,2,8,retrieval,kr,2,4,위,뿌,"까,꾸,휴,았,음,큼",뿌,TRUE,2326.3000000000466,yes
oyz,2,8,retrieval,kr,3,0,뜻,뜻,"까,꾸,휴,았,음,큼",효,FALSE,1147.6999999999534,no
oyz,2,8,retrieval,kr,4,1,르,문,"까,꾸,휴,았,음,큼",휴,FALSE,7188.5,yes
oyz,2,8,retrieval,kr,5,2,효,효,"까,꾸,휴,았,음,큼",조,FALSE,1914,no
oyz,2,8,retrieval,kr,6,5,조,보,"까,꾸,휴,았,음,큼",뿌,FALSE,3028,yes
oyz,2,8,debrief,kr,NA,NA,NA,NA,NA,NULL,NA,NA,NA
oyz,3,1,memory,kr,1,0,보,NA,NA,NULL,NA,NA,NA
oyz,3,1,memory,kr,2,1,았,NA,NA,NULL,NA,NA,NA
oyz,3,1,memory,kr,3,2,표,NA,NA,NULL,NA,NA,NA
oyz,3,1,memory,kr,4,3,문,NA,NA,NULL,NA,NA,NA
oyz,3,1,memory,kr,5,4,뿌,NA,NA,NULL,NA,NA,NA
oyz,3,1,memory,kr,6,5,뜻,NA,NA,NULL,NA,NA,NA
oyz,3,1,updating,kr,1,1,았,위,NA,NULL,NA,NA,yes
oyz,3,1,updating,kr,2,4,뿌,조,NA,NULL,NA,NA,yes
oyz,3,1,updating,kr,3,3,문,휴,NA,NULL,NA,NA,yes
oyz,3,1,retrieval,kr,1,3,문,휴,"음,꾸,르,효,큼,까",휴,TRUE,3445.3000000000466,yes
oyz,3,1,retrieval,kr,2,5,뜻,뜻,"음,꾸,르,효,큼,까",까,FALSE,1483.3000000000466,no
oyz,3,1,retrieval,kr,3,0,보,보,"음,꾸,르,효,큼,까",효,FALSE,1071.6999999999534,no
oyz,3,1,retrieval,kr,4,2,표,표,"음,꾸,르,효,큼,까",문,FALSE,1077.3999999999069,no
oyz,3,1,retrieval,kr,5,1,았,위,"음,꾸,르,효,큼,까",위,TRUE,2037.3000000000466,yes
oyz,3,1,retrieval,kr,6,4,뿌,조,"음,꾸,르,효,큼,까",조,TRUE,2410,yes
oyz,3,1,debrief,kr,NA,NA,NA,NA,NA,NULL,NA,NA,NA
oyz,3,2,memory,kr,1,0,위,NA,NA,NULL,NA,NA,NA
oyz,3,2,memory,kr,2,1,꾸,NA,NA,NULL,NA,NA,NA
oyz,3,2,memory,kr,3,2,르,NA,NA,NULL,NA,NA,NA
oyz,3,2,memory,kr,4,3,문,NA,NA,NULL,NA,NA,NA
oyz,3,2,memory,kr,5,4,조,NA,NA,NULL,NA,NA,NA
oyz,3,2,memory,kr,6,5,휴,NA,NA,NULL,NA,NA,NA
oyz,3,2,updating,kr,1,3,문,뿌,NA,NULL,NA,NA,yes
oyz,3,2,updating,kr,2,4,조,효,NA,NULL,NA,NA,yes
oyz,3,2,updating,kr,3,2,르,큼,NA,NULL,NA,NA,yes
oyz,3,2,retrieval,kr,1,3,문,뿌,"뜻,표,보,았,음,까",뿌,TRUE,1981.8999999999069,yes
oyz,3,2,retrieval,kr,2,0,위,위,"뜻,표,보,았,음,까",위,TRUE,4468.600000000093,no
oyz,3,2,retrieval,kr,3,5,휴,휴,"뜻,표,보,았,음,까",꾸,FALSE,1695.3000000000466,no
oyz,3,2,retrieval,kr,4,1,꾸,꾸,"뜻,표,보,았,음,까",까,FALSE,1243.5999999998603,no
oyz,3,2,retrieval,kr,5,4,조,효,"뜻,표,보,았,음,까",효,TRUE,2954.0999999998603,yes
oyz,3,2,retrieval,kr,6,2,르,큼,"뜻,표,보,았,음,까",큼,TRUE,2847.9000000001397,yes
oyz,3,2,debrief,kr,NA,NA,NA,NA,NA,NULL,NA,NA,NA
oyz,3,3,memory,kr,1,0,르,NA,NA,NULL,NA,NA,NA
oyz,3,3,memory,kr,2,1,큼,NA,NA,NULL,NA,NA,NA
oyz,3,3,memory,kr,3,2,문,NA,NA,NULL,NA,NA,NA
oyz,3,3,memory,kr,4,3,위,NA,NA,NULL,NA,NA,NA
